Observation,power,water,hotwater,prediction,gas,electricity,heating
6555,,1404.287783388294,0.4200500000000038,0,0.8373,,0.1486
2360,-7567.253678447818,2475.9775490426177,0.0609000000000019,0,0.096,0.8008,0.262
6728,-4673.2478588415215,8836.910889006687,0.2673999999999947,1,0.4144,0.4946,0.9351
1714,-812.5600603727676,1583.8396060287891,0.0791,0,0.1582,0.086,0.1676
6750,,571.7328773552609,0.16435,0,0.3287,,0.0605
7868,-798.2548849011495,4205.311056580019,0.3691000000000014,0,0.7364,0.0845,0.445
6,-8108.030369765519,1141.5741313143062,0.2318,0,0.4636,0.858,0.1208
8838,-7796.8515210880305,4469.905332050222,0.3086500000000039,0,0.6085,0.8251,0.473
79,-7218.504361846015,8604.384111272151,0.06630000000000011,0,0.0626,0.7639,0.9105
7975,-7493.4027659954045,3147.886966397313,0.5255000000000021,1,0.9704,0.793,0.3331
6921,-9431.761758814644,3533.571439225324,0.2531999999999983,1,0.4928,0.9981,0.3739
1489,-2290.3783562134754,5116.316433556005,0.2732500000000006,1,0.4373,0.2424,0.5414
10014,,9146.785825986068,0.4741500000000211,1,0.8323,,0.9679
849,-2290.2283562134753,8614.820039951337,0.49849999999999817,0,0.9376,0.2424,0.9116
1495,-7525.018152032964,7918.253018445837,0.4647,0,0.9294,0.7963,0.8379
369,-3707.5459033752795,5983.977272419029,0.4886000000000016,1,0.9176,0.3924,0.6332
4882,-6331.696722354166,3102.513704888135,0.4153999999999982,1,0.8232,0.6701,0.3283
8888,-1148.5742248991696,2716.0137203620166,0.1001499999999967,1,0.0969,0.1216,0.2874
9950,-8008.604141464193,4830.916200727428,0.4357500000000015,0,0.8423,0.8475,0.5112
4459,-9062.242184854467,2825.6171773425294,0.31610000000001004,0,0.6256,0.959,0.299
6390,-9348.596513694878,8138.469955869677,0.1894774509803999,0,0.3599,0.9893,0.8612
5577,-6142.6210493992585,6263.537535058958,0.2971,1,0.5942,0.6501,0.6628
4556,-9135.74309730688,5237.257330913812,0.009650000000001,1,0.0141,0.9668,0.5542
7270,-5464.5426501578095,9264.908088249553,0.362750000000003,0,0.7159,0.5783,0.9804
1579,-8006.484118067978,1178.4791875405133,0.0864000000000016,0,0.1102,0.8473,0.1247
3667,-4412.8046301637505,2873.783673946031,0.05105,0,0.1021,0.467,0.3041
6549,-1004.822446786773,9121.265510137155,0.2015999999999864,0,0.3946,0.1064,0.9652
7566,,7402.321231278941,0.1705500000000019,1,0.2117,,0.7833
2058,-2621.8674622493377,6407.296313171355,0.4670000000000003,1,0.916,0.2775,0.678
9581,-8552.700879574326,2893.6388196062962,0.20195000000000102,1,0.3225,0.9051,0.3062
10072,-802.0549316935809,6684.09454071696,0.3868000000000039,1,0.6672,0.0849,0.7073
9461,-1727.9763958392934,3969.075132053051,0.4406999999999986,1,0.7522,0.1829,0.42
8624,-6002.214306381186,5261.862435064617,0.0754000000000094,0,0.1254,0.6352,0.5568
9556,-2232.6826426288962,4697.662451294218,0.3501999999999969,0,0.6886,0.2363,0.4971
9535,-7467.262438448385,3661.930230167994,0.041,0,0.082,0.7902,0.3875
9138,-8870.326799667368,6765.372101728059,0.455219633507862,0,0.8821,0.9387,0.7159
390,,2476.875660740726,0.0798,0,0.1596,,0.2621
8152,-8553.975891272434,9329.221083720886,0.4395499999999982,0,0.8227,0.9052,0.9872
9009,-1403.9373833882946,3647.945254696376,0.3838500000000073,1,0.7313,0.1486,0.386
5343,-4564.521513559117,3595.8804113004435,0.119000000000007,1,0.2136,0.4831,0.3805
1399,-6392.804137699737,6686.968775811284,0.0123000000000002,1,0.0126,0.6765,0.7076
7960,,,0.23734999999999978,1,0.4593,,
2165,-2770.5942988522734,5047.310879594131,0.2934,0,0.5868,0.2932,0.5341
4417,-2348.0740697980555,3716.74200865825,0.3999500000000023,0,0.7989,0.2485,0.3933
2816,-8824.319236931284,1282.3914743323787,0.2276999999999986,0,0.4512,0.9338,0.1357
6559,-2344.9190347037315,963.9710320700267,0.228449999999989,1,0.2829,0.2482,0.102
7879,-5053.232561480887,385.6310728280107,0.43424999999999925,1,0.8009,0.5348,0.0408
9910,-4814.284601859594,2126.299220742706,0.1691499999999976,0,0.3119,0.5095,0.225
8989,-5781.291569023945,6155.816201474661,0.4330999999999977,0,0.8612,0.6118,0.6514
5954,-2790.2895445125387,7427.801847127854,0.2093500000000047,0,0.4167,0.2953,0.786
6753,-8621.041721838094,1066.0966954656767,0.34554999999999614,1,0.5963,0.9123,0.1128
4454,-7418.081830146776,1333.4215060302038,0.0627,0,0.1254,0.785,0.1411
356,-7310.130496562477,6513.045323359436,0.17889999999999828,0,0.2954,0.7736,0.6892
3843,,8902.06139617613,0.0616999999999999,1,0.0258,,0.942
6417,-834.9861254410819,4617.356368719756,0.2055774509803999,0,0.3921,0.0884,0.4886
2353,-9290.030004098464,4208.1648916743425,0.1250000000000019,1,0.145,0.9831,0.4453
2045,,1796.4858381030597,0.3400000000000006,0,0.6684,,0.1901
2982,-4979.0566373303645,7753.820982975069,0.018,0,0.036,0.5269,0.8205
2286,-2546.4665264007085,2002.5147882905753,0.4577999999999971,1,0.7912,0.2695,0.2119
5558,-2703.338468286615,5585.988847515616,0.3960999999999981,0,0.7632,0.2861,0.5911
1721,,4352.908281484847,0.23719999999999708,1,0.35,,0.4606
1546,-6725.178255433706,2510.124370174501,0.3417500000000025,1,0.6765,0.7117,0.2656
9993,-5896.752996193105,8405.879054669498,0.031,0,0.062,0.624,0.8895
6880,,3781.0272041295852,0.3577500000000056,1,0.6167,,0.4001
5816,-8431.939382216518,2395.655954703449,0.4598500000000085,0,0.8661,0.8923,0.2535
849,-3607.5746633758454,8332.261542217084,0.2594999999999982,0,0.4596,0.3818,0.8817
3617,-3582.049347526933,7179.4093705254845,0.08739999999999709,1,0.151,0.3791,0.7597
8693,-1988.034612818957,7400.406707882726,0.3589999999999911,0,0.686,0.2104,0.7831
801,-1827.9376358387276,5412.209095063768,0.3051999999999994,1,0.5886,0.1935,0.5727
2222,-6698.847927886686,3393.621407905359,0.0182,0,0.0364,0.7089,0.3591
3203,-5823.727095438799,976.2143841454291,0.0429999999999996,0,0.0796,0.6163,0.1033
4910,-746.0792415052168,6814.575555055846,0.13500000000000328,1,0.2698,0.079,0.7211
2020,-7785.501380710736,3172.426870548117,0.2671000000000011,1,0.4254,0.8239,0.3357
1122,-7603.999134674024,8923.867565232611,0.1949000000000015,1,0.3606,0.8047,0.9443
4471,-1852.8179399895316,2814.264336965235,0.2938999999999916,0,0.5806,0.1961,0.2978
2174,-3420.872347150487,990.3722596170472,0.01505,0,0.0301,0.362,0.1048
8493,,2267.1414637607786,0.35064999999999313,1,0.5399,,0.2399
8713,-4509.255823370753,5255.2186531778625,0.016,0,0.032,0.4772,0.5561
1388,-509.56631697824946,1654.7362833868794,0.0393500000000039,1,0.0699,0.054,0.1751
4718,-4244.590683009969,7016.742934378619,0.0314590865842058,0,0.0514,0.4492,0.7425
2418,-481.2859660350133,,0.034550000000001704,0,0.0249,0.051,
3708,-5796.701756193671,,0.37785,1,0.7557,0.6134,
9328,-7625.974403730506,7919.252030143945,0.24149999999999439,0,0.4508,0.807,0.838
7035,-9223.86513697354,4547.42032185807,0.2402890080429015,0,0.4584,0.9761,0.4812
1440,-3854.262716581999,2438.178281118303,0.4874000000000014,1,0.8724,0.4079,0.258
4578,-8791.153361274864,7036.5745730931185,0.4076897716460545,0,0.8121,0.9303,0.7446
9540,-2916.016100360885,6018.81910524902,0.3740000000000105,1,0.6412,0.3086,0.6369
3952,-4774.514110539064,5649.399931288844,0.4243499999999957,1,0.8481,0.5053,0.5978
7673,-3908.9333950722557,2182.1526109310707,0.055899999999999,1,0.0896,0.4137,0.2309
6875,-216.07767886670172,8633.654973913493,0.4858000000000032,0,0.9226,0.0229,0.9136
7020,-4383.515219265033,3533.4227697883266,0.4435890080428873,0,0.865,0.4639,0.3739
2311,-5959.9687799663325,1860.7474335743948,0.395149999999999,0,0.7895,0.6307,0.1969
9726,-7123.04818033712,8953.040827873954,0.4649,0,0.9298,0.7538,0.9474
9920,,7394.762537694078,0.1679499999999906,1,0.2791,,0.7825
8340,-1128.0739675407956,7529.853210523503,0.45695,0,0.9139,0.1194,0.7968
1408,-128.71660264077812,1392.0289313128915,0.18275,1,0.3655,0.0137,0.1473
2647,-3735.9062543185155,4092.9417645051826,0.3062999999999958,1,0.484,0.3954,0.4331
4269,-5606.75440487399,2052.5654082902925,0.47465,1,0.9493,0.5933,0.2172
1893,-7834.481989012345,7003.52899467742,0.3149000000000019,0,0.5766,0.8291,0.7411
3750,,9.462616981078684,0.1087499999999905,0,0.2155,,0.001
7161,,7476.932555429463,0.03905,0,0.0781,,0.7912
2091,,578.358659242016,0.329600000000004,1,0.5682,,0.0612
1912,-338.9591996207252,7429.68287052407,,0,,0.0359,0.7862
6364,,3779.1309924980756,0.3458774509803857,0,0.6727,,0.3999
1995,,152.14688339536698,0.06335,0,0.1267,,0.0161
5774,,3844.3389879028127,0.014249999999995301,0,0.0245,,0.4068
7516,,6934.510640715545,0.2808000000000002,1,0.446,,0.7338
7026,-7455.748249813718,3568.3882026183173,0.0332390080429015,0,0.0443,0.789,0.3776
9481,-1218.6850905591514,294.86064980965523,0.44354999999999095,0,0.8825,0.129,0.0312
9775,-7647.059672786987,8476.795232027589,0.44019999999999043,1,0.8082,0.8093,0.897
8182,-6732.648349018569,3983.2358075246693,0.4015000000000052,0,0.7984,0.7125,0.4215
4359,-2068.4906071581263,4410.369595069426,0.34075,0,0.6815,0.2189,0.4667
6977,-3564.190077005511,6599.985730148363,0.2162890080429015,0,0.4104,0.3772,0.6984
9817,-7204.369186374396,9130.711327118233,0.21210000000000012,0,0.4182,0.7624,0.9662
8177,-2681.353199230133,6754.142206376943,0.37675000000000064,1,0.6961,0.2838,0.7147
7277,-4426.044793937261,4338.586706013228,0.38625000000000576,1,0.6617,0.4684,0.4591
954,-7534.078269014043,7177.474947129268,0.18559999999999718,1,0.3414,0.7973,0.7595
7608,,3604.274616583414,0.20005,0,0.4001,,0.3814
10299,-1313.751272068047,7434.429729014609,0.5019000000000029,1,0.8752,0.1391,0.7867
2356,-8469.979850140833,8187.58155240658,0.0927499999999939,0,0.1773,0.8963,0.8664
4276,-3524.893633942353,6335.358424115157,0.3431,1,0.6862,0.373,0.6704
2984,-1837.557752819806,4185.6452109197535,0.074100000000001,1,0.1186,0.1945,0.4429
3211,-2997.1571063981614,6341.089094303804,0.26635000000000236,0,0.5287,0.3172,0.671
7531,-8379.973738820587,2187.7272811197176,0.3237500000000047,0,0.6455,0.8868,0.2315
5446,-2135.326437723785,5776.866110533406,0.08715000000000471,0,0.1723,0.226,0.6113
6669,-2518.256175457472,6836.214624112327,0.22405,0,0.4481,0.2665,0.7234
5455,-1431.82773433153,6766.362458452345,0.5050999999999868,1,0.9622,0.1516,0.716
5251,,4934.945687519295,0.0503000000000098,0,0.0572,,0.5222
7693,-2162.811776968913,268.5332222626349,0.2240500000000022,1,0.4317,0.2289,0.0284
2109,-6050.6999029846875,4183.566787523538,0.0157,0,0.0314,0.6403,0.4427
1614,,1524.3119690479934,0.1137000000000043,0,0.225,,0.1613
1242,-8489.6096356784,713.5051547708279,0.1231003067484719,0,0.2233,0.8984,0.0755
4307,-941.706663013546,,0.1788,0,0.3576,0.0997,
3098,-5172.694035442477,5254.2839414797545,0.15149999999999708,1,0.2274,0.5474,0.556
9723,-6911.365559960957,8872.723233534785,0.1034499999999929,0,0.2039,0.7314,0.9389
8433,-8714.37787995077,7530.908522221612,0.1226000000000084,1,0.1762,0.9222,0.7969
3074,,46.3142732072856,0.2964999999999995,0,0.5896,,0.0049
3776,-8177.781235425502,8756.608494667518,0.1481000000000077,1,0.2632,0.8654,0.9266
6249,-5729.175925628011,6337.316647511372,0.130149999999996,0,0.1929,0.6063,0.6706
7606,-5006.161976575492,5920.526488645801,0.0908999999999931,0,0.1454,0.5298,0.6265
6316,-7303.603306832585,1633.0034202127513,0.2907637254901928,0,0.572,0.7729,0.1728
1876,,1254.9942350872507,0.38354999999999706,0,0.7403,,0.1328
4033,-6456.924933171073,4907.455948274165,0.1955500000000015,0,0.3833,0.6833,0.5193
2602,-3483.2031192256063,150.25685999915126,0.1295,0,0.259,0.3686,0.0159
7543,-1051.3580199940586,3645.91163130016,0.2240000000000102,1,0.283,0.1113,0.3858
5361,-8688.46256410186,2259.5999701759156,0.1571999999999955,1,0.2984,0.9195,0.2391
3453,-6067.5601135506295,8867.061263346139,0.13790000000000718,0,0.2668,0.6421,0.9383
7661,-8074.734960331745,6593.375517698605,0.1876499999999964,0,0.3387,0.8545,0.6977
9681,-4232.347395825148,8888.991232402619,0.3957500000000042,1,0.7647,0.4479,0.9406
3031,-8760.693453158057,2443.8607513069505,0.0861999999999999,0,0.148,0.9271,0.2586
1938,-1643.6403547076925,2006.2648350830066,0.2598999999999977,1,0.4904,0.174,0.2123
10036,-6598.686687887252,2730.1469958336343,0.0440499999999925,0,0.0817,0.6983,0.2889
8801,-1235.235301125093,7463.746291655952,0.5069999999999908,1,0.9452,0.1308,0.7898
9840,-6428.544582227836,4257.277699975952,0.1221,0,0.2442,0.6803,0.4505
6039,-6149.836131286014,7816.191755050188,0.2864,0,0.5728,0.6508,0.8271
9784,-3204.3646682837852,791.9233030143946,0.219499999999991,1,0.3856,0.3391,0.0838
8780,-8458.974721461647,2214.166308666738,0.0711499999999905,1,0.1403,0.8952,0.2343
2915,-4175.796693938675,9186.458717306597,0.42545,0,0.8509,0.4419,0.9721
7733,-7880.132550521523,8372.825745235723,0.4256999999999999,0,0.8026,0.8339,0.886
10358,-7885.726984346535,17.028103293214386,0.3529354545454523,0,0.6905,0.8345,0.0018
8540,,,0.3285999999999885,0,0.6382,,
456,-437.2304162239436,,0.5352499999999965,1,0.9547,0.0463,
4798,-7945.256492800386,,0.14750908658420578,0,0.2835,0.8408,
6638,-8481.369990518127,5926.1683588344495,0.32715,0,0.6543,0.8975,0.6271
7116,-3408.263146817713,3442.701646769971,0.2440890080429015,0,0.466,0.3607,0.3643
8490,-9089.497524099595,,0.2434000000000068,1,0.3982,0.9619,
8828,-5067.327736952504,9041.882527496095,0.3495000000000039,1,0.6902,0.5363,0.9568
7290,,6162.4756833614165,0.2862999999999984,1,0.5316,,0.6521
1864,,4768.671928652309,0.1305499999999965,1,0.2185,,0.5046
4808,-2940.474539621109,6484.701348343889,0.0157590865842058,0,0.02,0.3112,0.6862
811,-4920.2259120476765,655.9494184868614,0.4385999999999981,1,0.8726,0.5207,0.0694
3009,-7394.086537694077,9004.14915957178,0.4908499999999975,0,0.9125,0.7825,0.9528
921,-5635.669767515334,314.7281954699206,0.0193499999999968,0,0.0055,0.5964,0.0333
2408,-3672.840470545288,4573.08010714398,0.2010999999999962,1,0.3258,0.3887,0.4839
5132,-3751.83145318635,,0.3228499999999972,1,0.6433,0.3971,
4422,-8019.2192701433805,5157.87384827275,0.1309,0,0.2618,0.8486,0.5458
7211,-4694.458116199896,458.3630735823167,0.3178499999999868,1,0.4781,0.4968,0.0485
2989,-4471.535355446438,5880.839997325271,0.4959500000000008,0,0.9469,0.4732,0.6223
6393,-1223.3859333634166,5585.993359280322,0.2277774509803857,0,0.4365,0.1295,0.5911
6754,-3125.5186973408313,2134.0429143275687,0.3966500000000039,1,0.7845,0.3308,0.2258
9221,-4793.474344501222,766.449287165482,0.5413500000000048,1,0.9497,0.5073,0.0811
9667,-3083.9081826240854,907.2514301835547,0.2927999999999962,1,0.5062,0.3264,0.096
3953,-646.8530132038906,2828.455112436853,0.416150000000004,0,0.8175,0.0685,0.2993
7455,-700.6886799960389,6943.017445998516,0.2793,0,0.5586,0.0742,0.7347
1699,-3618.91480375314,9286.630057306033,0.0226500000000052,0,0.0437,0.383,0.9827
8240,-6686.132775811285,4297.020691296482,0.1835000000000014,1,0.3164,0.7076,0.4547
6866,-586.4522645249868,1270.0957222569764,0.09145,0,0.1829,0.0621,0.1344
4522,-3374.3067739432013,1726.5902724430773,0.19555,0,0.3911,0.3571,0.1827
8239,-6759.923688263698,36.89275622620692,0.45454999999999973,1,0.7961,0.7154,0.0039
6617,-5622.059603741824,2534.6984743253056,0.1168999999999974,1,0.1706,0.595,0.2682
3847,,396.19490150719724,0.3299999999999959,1,0.5986,,0.0419
2526,-3354.6315282829364,2140.4514962143244,0.04185,0,0.0837,0.355,0.2265
5721,-2645.332754702035,4028.6568690338477,0.3651499999999974,1,0.6397,0.28,0.4263
9794,-9167.128483344442,3074.151453944899,0.322100000000001,1,0.4652,0.9701,0.3253
6864,,5811.828743363397,0.08435,0,0.1687,,0.615
2995,-5231.104760725166,9397.251425984652,0.1888999999999991,0,0.371,0.5536,0.9944
2713,-5237.879842611921,,0.2513000000000002,1,0.387,0.5543,
2977,-7030.617033922548,7597.903852787271,0.3463999999999986,0,0.6886,0.744,0.804
6337,-8850.57534879203,4052.23937325125,0.3543774509803857,0,0.6897,0.9366,0.4288
8405,-6149.786131286014,9245.994454287395,0.12235,0,0.2447,0.6508,0.9784
3689,-5589.514194308047,3844.388387902813,0.07495000000000131,1,0.1267,0.5915,0.4068
1700,-2413.0298769674982,704.9873267884706,0.3309500000000005,0,0.6593,0.2554,0.0746
265,-2322.478753949143,8305.720714670064,0.5597000000000015,1,0.9988,0.2458,0.8789
8978,-6513.585635057545,4971.712043745501,0.4000000000000025,1,0.7168,0.6893,0.5261
10186,-715.1638554676572,4709.136491671514,0.4947499999999954,1,0.9795,0.0757,0.4983
7902,-453.8206267898851,2819.9451071538824,0.33459999999999596,0,0.6506,0.0481,0.2984
7006,-239.63892306202627,3126.1227279038344,0.1944890080428873,0,0.3668,0.0254,0.3308
3128,-649.0130366001063,17.033210565941673,0.3883999999999987,0,0.7666,0.0687,0.0018
4304,-5467.357685252133,8204.747962972522,0.20580000000000762,1,0.406,0.5786,0.8682
6794,-2631.5275792304164,6233.319560719506,0.2383500000000068,1,0.3881,0.2785,0.6596
8288,,5623.808815439931,0.25000000000000266,1,0.4322,,0.5951
724,-2864.1304569649524,6150.144931286014,0.30064999999999553,0,0.5883,0.3031,0.6508
4929,-6623.602003736164,2776.5372690409204,0.1487999999999999,1,0.2762,0.701,0.2938
4280,-2448.5253097974896,415.8051471674625,0.4807,1,0.9614,0.2591,0.044
2615,-8459.394721461647,9323.51751353224,0.20204999999999781,0,0.3687,0.8952,0.9866
1898,-5511.983235063202,3440.8015928107525,0.4035999999999971,1,0.7072,0.5833,0.3641
948,-838.990387919788,7652.769231277526,0.09154999999999769,1,0.0745,0.0888,0.8098
5657,-214.80266716859393,5406.431324875121,0.4698,1,0.9396,0.0228,0.5721
7499,-3312.6510135661906,9091.992447495812,0.4112999999999969,0,0.8108,0.3506,0.9621
4916,-5418.027076950523,8594.908694291073,0.4512,1,0.9024,0.5734,0.9095
2034,,4301.693649787021,0.1032499999999981,1,0.2019,,0.4552
9626,-9402.4763961733,7478.822578825679,0.38255,0,0.7651,0.995,0.7914
9895,-1686.9708928206542,3919.091112053334,0.14149999999999552,1,0.0444,0.1786,0.4147
9346,-6439.93472260513,8014.773911652841,0.1694499999999938,1,0.3367,0.6815,0.8481
6569,-3479.958084131283,1640.5575079152613,0.0227000000000006,0,0.0368,0.3683,0.1736
9501,-5279.320357328666,1472.3465256520603,0.225499999999996,0,0.4324,0.5587,0.1558
5488,-5922.623323740126,70.04636565998234,0.1753999999999953,1,0.3468,0.6268,0.0074
4883,,8283.063033915474,0.1259499999999898,1,0.2371,,0.8765
10020,-8718.457926743204,7923.923088634485,0.28115,0,0.5623,0.9226,0.8385
5767,-8795.79888598805,6862.728651659348,0.4288999999999951,1,0.7622,0.9308,0.7262
9175,-7464.037403354061,8474.936208631372,0.48179999999999645,1,0.7686,0.7899,0.8968
1054,-4722.728467143132,5117.265445254113,0.3565500000000026,0,0.7001,0.4998,0.5415
7648,-8261.787276557101,,0.4833999999999995,0,0.9146,0.8743,
3332,-1270.5907339550847,7674.592900334008,0.0026499999999995,1,0.0049,0.1345,0.8121
3168,-8668.342306743487,1333.4116060302038,0.4572999999999987,0,0.9074,0.9173,0.1411
4064,-9292.815039192788,3702.6528331866325,0.081650000000003,0,0.1537,0.9834,0.3918
9867,,3315.101036962406,0.05255,0,0.1051,,0.3508
3888,-3095.50832300138,6307.9627848700275,0.4467000000000086,0,0.8886,0.3276,0.6675
1342,,7299.290456185183,0.2880999999999973,0,0.5678,,0.7724
8733,-7494.137777693512,1945.801086404103,0.4956000000000051,1,0.9712,0.7931,0.2059
9202,,6180.550405625466,0.1842500000000003,1,0.3505,,0.654
4951,,,0.010699999999998799,1,0.0052,,
4140,-3514.3485052631663,1642.4612313114771,0.2833999999999929,0,0.5638,0.3719,0.1738
9906,,2752.8260765882237,0.4024500000000033,0,0.7773,,0.2913
8836,-9416.691571644918,565.1169954685059,0.3898,0,0.7796,0.9965,0.0598
9484,-8505.66029466893,8977.611132024758,0.164,0,0.328,0.9001,0.95
868,-3039.7626328130154,6406.245601473246,0.4376000000000005,1,0.772,0.3217,0.6779
7729,-423.98025245043345,5083.21792412223,0.3962,0,0.7924,0.0449,0.5379
2118,-7806.531638069108,8217.838726746033,0.2306499999999987,1,0.3535,0.8261,0.8696
1749,-7639.114567504017,6843.79051769719,0.4945000000000048,0,0.9566,0.8084,0.7242
7480,-7940.343299200427,2236.033677723219,0.3894999999999944,1,0.7742,0.8403,0.2366
2974,-7670.974965239683,501.82321169527864,0.1809500000000012,0,0.3477,0.8118,0.0531
2003,,3749.8348180920257,0.1930499999999957,0,0.3611,,0.3968
1441,-1119.2988622578252,8393.616402594094,0.5303500000000008,1,0.9669,0.1185,0.8882
6887,-3946.8338629965706,4479.386849031301,0.17299999999999421,0,0.2984,0.4177,0.474
6953,-8588.391324102426,224.98438414967293,0.4271499999999982,1,0.7491,0.9089,0.0238
5123,-6973.716332036076,,0.1822,0,0.3644,0.738,
9188,-6552.986126378074,1738.8401245184796,0.41560000000000796,1,0.829,0.6935,0.184
9417,-8726.763032026174,5658.008636571814,0.1443499999999929,1,0.2369,0.9235,0.5987
5431,-9055.159602967713,6597.215564491036,0.1127000000000044,1,0.214,0.9583,0.6981
2383,-8749.453312780763,3688.507457715014,0.3359500000000005,1,0.6419,0.9259,0.3903
1170,,,0.4058499999999961,1,0.7901,,
